"uri","name","minValue","maxValue","lwrBound","uprBound"
"http://sinfonia.vignevin.com/id/variable/debourrement-jj","débourrement_jj",0,NA,60,120
"http://sinfonia.vignevin.com/id/variable/debourrement","débourrement",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/fertilite_s1_5","Fertilite_S1_5",1,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_carence_mg_prc","Feuille_Carence_Mg_prc",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_carence_mg_s1_3","Feuille_Carence_Mg_S1_3",1,3,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_carencemg_s0_5","Feuille_CarenceMg_S0_5",0,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_erinose_s0_3","Feuille_erinose_S0_3",0,3,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_erinose_s0_5","Feuille_Erinose_S0_5",0,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_erinose_vate_s1_3","Feuille_erinose_VATE_S1_3",1,3,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_freq_black-rot","Feuille_Freq_Black-rot",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_freq_phylloxera","Feuille_Freq_Phylloxera",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_freqblack-rot_s0_5","Feuille_FreqBlack-rot_S0_5",0,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_freqmildiou_s0_5","Feuille_FreqMildiou_S0_5",0,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_freqoidium_s0_5","Feuille_FreqOidium_S0_5",0,5,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_frequence_mildiou","Feuille_Freq_Mildiou",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/feuille_frequence_oidium","Feuille_freq_Oidium",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/feuille_intensit_attaque_phylloxera","Feuille_intensité_attaque_Phylloxera",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_intensite_attaque_black-rot","Feuille_intensite_attaque_black-rot",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_intensite_attaque_cicadelle","Feuille_intensite_attaque_cicadelle",NA,NA,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_intensite_attaque_oidium","Feuille_intensite_attaque_oidium",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/feuille_intensite_mildiou","Feuille_Intensité_attaque Mildiou",0,100,1,NA
"http://sinfonia.vignevin.com/id/variable/feuille_mildiou_oiv452","feuille_Résistance_mildiou_OIV452",1,9,NA,NA
"http://sinfonia.vignevin.com/id/variable/feuille_nb_black-rot","feuille_nb_Black-rot",0,NA,NA,NA
