uri,rdf_type,rdf_type_name,name,synonyms,code,production_year,description,species,species_name,variety,variety_name,accession,accession_name,institute,website,CodeTRUEL-VASSAL,CodeVIVC,CodeGO2,Pere,NumAgrementOfficiel,Mere
"http://sinfonia.vignevin.com/id/germplasm/accession.flot_rouge_n_cl1246",vocabulary:Accession,Accession,"FLOT ROUGE N Cl1246",,1246,,GO2-657700021,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique","http://sinfonia.vignevin.com/id/germplasm/variety.flot_rouge_n","FLOT ROUGE N",,,,,,,657700021,,1246,
"http://sinfonia.vignevin.com/id/germplasm/variety.pagadebiti_b",vocabulary:Variety,Variété,"PAGADEBITI B",,114,,GO2-2337,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/pagadebiti",114,,2337,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p245_d10",vocabulary:Variety,Variété,3563-P245-D10,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,3408-F10-PL2,,"VERMENTINO B"
"http://sinfonia.vignevin.com/id/germplasm/accession.nielluccio_n_cl999",vocabulary:Accession,Accession,"NIELLUCCIO N Cl999",,999,,GO2-232302631,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.nielluccio_n","NIELLUCCIO N",,,,,,,232302631,,999,
"http://sinfonia.vignevin.com/id/germplasm/variety.col_0257p",vocabulary:Variety,Variété,Col-0257P,,NA,,0257P,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,INRA-Colmar,,,,,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.colombard_b_cl695",vocabulary:Accession,Accession,"COLOMBARD B Cl695",,695,,GO2-119100151,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.colombard_b","COLOMBARD B",,,,,,,119100151,,695,
"http://sinfonia.vignevin.com/id/germplasm/accession.gamay_n_cl1227",vocabulary:Accession,Accession,"GAMAY N Cl1227",,1227,,GO2-122105721,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.gamay_n","GAMAY N",,,,,,,122105721,,1227,
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p259_a07",vocabulary:Variety,Variété,3565-P259-A07,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,"CINSAUT N",,3421-F02-PL5
"http://sinfonia.vignevin.com/id/germplasm/variety.3567_p249_f10",vocabulary:Variety,Variété,3567-P249-F10,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,3408-F10-PL2,,"CINSAUT N"
"http://sinfonia.vignevin.com/id/germplasm/accession.plant_droit_n_cl1173",vocabulary:Accession,Accession,"PLANT DROIT N Cl1173",,1173,,GO2-237302221,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.plant_droit_n","PLANT DROIT N",,,,,,,237302221,,1173,
"http://sinfonia.vignevin.com/id/germplasm/variety.tibouren_n",vocabulary:Variety,Variété,"TIBOUREN N",,86,,GO2-1623,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,"https://plantgrape.plantnet-project.org/fr/cepage/tibouren",86,,1623,,,
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_b10",vocabulary:Variety,Variété,3563-P243-B10,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,3408-F10-PL2,,"VERMENTINO B"
"http://sinfonia.vignevin.com/id/germplasm/accession.grenache_n_cl814",vocabulary:Accession,Accession,"GRENACHE N Cl814",,814,,GO2-125504741,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.grenache_n","GRENACHE N",,,,,,,125504741,,814,
"http://sinfonia.vignevin.com/id/germplasm/accession.101-14_mgt_cl1034",vocabulary:Accession,Accession,"101-14 MGT Cl1034",,1034,,GO2-991100471,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique","http://sinfonia.vignevin.com/id/germplasm/variety.101_14_mgt","101-14 MGT",,,,,,,991100471,,1034,
"http://sinfonia.vignevin.com/id/germplasm/variety.3565_p258_d09",vocabulary:Variety,Variété,3565-P258-D09,,,,EDGARR,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique","Vitis x interspécifique",,,,,,,,,,"CINSAUT N",,3421-F02-PL5
"http://sinfonia.vignevin.com/id/germplasm/accession.nielluccio_n_cl1250",vocabulary:Accession,Accession,"NIELLUCCIO N Cl1250",,1250,,GO2-232302771,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.nielluccio_n","NIELLUCCIO N",,,,,,,232302771,,1250,
"http://sinfonia.vignevin.com/id/germplasm/variety.aramon_blanc_b",vocabulary:Variety,Variété,"ARAMON BLANC B",,24,,GO2-1051,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera",,,,,,,24,,1051,,,
"http://sinfonia.vignevin.com/id/germplasm/accession.merlot_n_cl348",vocabulary:Accession,Accession,"MERLOT N Cl348",,348,,GO2-137301441,"http://sinfonia.vignevin.com/id/germplasm/species.vitis_vinifera_subsp_vinifera","Vitis vinifera subsp. vinifera","http://sinfonia.vignevin.com/id/germplasm/variety.merlot_n","MERLOT N",,,,,,,137301441,,348,
