"uri"	"rdf_type"	"rdf_type_name"	"name"	"species"	"species_name"
"http://sinfonia.vignevin.com/id/germplasm/accession.333_em_cl1105"	"vocabulary:Accession"	"Accession"	"333 EM Cl1105"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.34_em"	"vocabulary:Variety"	"Variété"	"34 EM"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.34_em_cl1032"	"vocabulary:Accession"	"Accession"	"34 EM Cl1032"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/accession.34_em_cl1033"	"vocabulary:Accession"	"Accession"	"34 EM Cl1033"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3408_f10_pl2"	"vocabulary:Variety"	"Variété"	"3408-F10-PL2"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3421_f02_pl5"	"vocabulary:Variety"	"Variété"	"3421-F02-PL5"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_a01"	"vocabulary:Variety"	"Variété"	"3563-P243-A01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_a03"	"vocabulary:Variety"	"Variété"	"3563-P243-A03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_b01"	"vocabulary:Variety"	"Variété"	"3563-P243-B01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_b07"	"vocabulary:Variety"	"Variété"	"3563-P243-B07"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_b08"	"vocabulary:Variety"	"Variété"	"3563-P243-B08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_b10"	"vocabulary:Variety"	"Variété"	"3563-P243-B10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_c01"	"vocabulary:Variety"	"Variété"	"3563-P243-C01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_c05"	"vocabulary:Variety"	"Variété"	"3563-P243-C05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_c09"	"vocabulary:Variety"	"Variété"	"3563-P243-C09"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_c10"	"vocabulary:Variety"	"Variété"	"3563-P243-C10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_d06"	"vocabulary:Variety"	"Variété"	"3563-P243-D06"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_d07"	"vocabulary:Variety"	"Variété"	"3563-P243-D07"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_d10"	"vocabulary:Variety"	"Variété"	"3563-P243-D10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_e01"	"vocabulary:Variety"	"Variété"	"3563-P243-E01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_e03"	"vocabulary:Variety"	"Variété"	"3563-P243-E03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_e04"	"vocabulary:Variety"	"Variété"	"3563-P243-E04"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_e05"	"vocabulary:Variety"	"Variété"	"3563-P243-E05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_e06"	"vocabulary:Variety"	"Variété"	"3563-P243-E06"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_e10"	"vocabulary:Variety"	"Variété"	"3563-P243-E10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_f02"	"vocabulary:Variety"	"Variété"	"3563-P243-F02"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_f03"	"vocabulary:Variety"	"Variété"	"3563-P243-F03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p243_f08"	"vocabulary:Variety"	"Variété"	"3563-P243-F08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_a04"	"vocabulary:Variety"	"Variété"	"3563-P244-A04"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_a05"	"vocabulary:Variety"	"Variété"	"3563-P244-A05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_b03"	"vocabulary:Variety"	"Variété"	"3563-P244-B03"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_b10"	"vocabulary:Variety"	"Variété"	"3563-P244-B10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_c01"	"vocabulary:Variety"	"Variété"	"3563-P244-C01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_c02"	"vocabulary:Variety"	"Variété"	"3563-P244-C02"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_c04"	"vocabulary:Variety"	"Variété"	"3563-P244-C04"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_c05"	"vocabulary:Variety"	"Variété"	"3563-P244-C05"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_c07"	"vocabulary:Variety"	"Variété"	"3563-P244-C07"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_c08"	"vocabulary:Variety"	"Variété"	"3563-P244-C08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_c09"	"vocabulary:Variety"	"Variété"	"3563-P244-C09"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_c10"	"vocabulary:Variety"	"Variété"	"3563-P244-C10"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_d01"	"vocabulary:Variety"	"Variété"	"3563-P244-D01"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_d02"	"vocabulary:Variety"	"Variété"	"3563-P244-D02"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_d08"	"vocabulary:Variety"	"Variété"	"3563-P244-D08"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_e02"	"vocabulary:Variety"	"Variété"	"3563-P244-E02"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
"http://sinfonia.vignevin.com/id/germplasm/variety.3563_p244_e06"	"vocabulary:Variety"	"Variété"	"3563-P244-E06"	"http://sinfonia.vignevin.com/id/germplasm/species.vitis_x_interspecifique"	"Vitis x interspécifique"
