"MORPHO_OIV_072","OIV072"
"MORPHO_OIV_617","OIV617"
"MORPHO_OIV_093","OIV093"
"MORPHO_OIV_606","OIV606"
"MORPHO_OIV_605","OIV605"
"MORPHO_OIV_612","OIV612"
"MORPHO_OIV_614","OIV614"
"MORPHO_OIV_078","OIV078"
"MORPHO_OIV_601","OIV601"
"MORPHO_OIV_602","OIV602"
"MORPHO_OIV_603","OIV603"
"MORPHO_OIV_604","OIV604"
"MORPHO_OIV_611","OIV611"
"MORPHO_OIV_616","OIV616"
"MORPHO_OIV_618","OIV618"
"MORPHO_OIV_065","OIV065"
"MORPHO_OIV_077","OIV077"
"MORPHO_OIV_613","OIV613"
"MORPHO_OIV_615","OIV615"
"FRUITSET_OIV_501","Nou_Tx"
"RES_CL_OIV_402","Cep_resChlore_OIV"
"RES_D_OIV_403","Cep_resSec_OIV"
"RES_IC_OIV_401","Cep_resChlFer_OIV"
"MORPHO_OIV_553","PG_Rhizo"
"MORPHO_OIV_552","PG_Cal"
"CANES_Y_OIV_551","PG_pds_ha"
"MORPHO_OIV_006","Ram_Port"
"MORPHO_OIV_012","OIV012"
"MORPHO_OIV_011","OIV011"
"MORPHO_OIV_014","OIV014"
"MORPHO_OIV_013","OIV013"
"MORPHO_OIV_015-2","OIV015-2"
"MORPHO_OIV_017","Ram_long_Vril"
"MUST_SUG_OIV_505","Mout_Suc_OIV"
"BUDB_OIV_301","Deb_epoq"
"VER_OIV_303","Ver_epoq"
"WOODM_OIV_305","Aout_epoq"
"FLO_OIV_302","Flo_epoq"
"MAT_OIV_304","Mat_epoq"
"MUST_TA_OIV_506","Mout_AT_OIV"
"SHOOT_G_OIV_351","Ram_vig_OIV"
"YIELD_OIV_504","Vdg_pds_m2"
"MORPHO_OIV_054","OIV054"
"MORPHO_OIV_056","OIV056"
"MORPHO_OIV_053","OIV053"
"MORPHO_OIV_055","OIV055"
"MORPHO_OIV_005","OIV005"
"MORPHO_OIV_004","OIV004"
"MORPHO_OIV_003","OIV003"
"MORPHO_OIV_207","Gp_ligni_Pedon"
"MORPHO_OIV_155","OIV155"
"MORPHO_OIV_225","OIV225"
"MORPHO_OIV_244","OIV_244"
"MORPHO_OIV_089","OIV089"
"MORPHO_OIV_088","OIV088"
"MORPHO_OIV_081-1","OIV081-1"
"MORPHO_OIV_083-2","OIV083-2"
"MORPHO_OIV_073","OIV073"
"MORPHO_OIV_106","OIV106"
"MORPHO_OIV_105","OIV105"
"MORPHO_OIV_104","OIV104"
"MUST_Y_OIV_233","Bai_jus"
"MORPHO_OIV_069","OIV069"
"MUST_pH_OIV_508","Mout_pH_OIV"
"BOTRY_CLUST_OIV_459","Gp_Bot_OIV"
"NB_BUDS_PLANT","Yeux_nb_Cep"
"NB_CANES_PLANT","Lbois_nb_Cep"
"NB_CLUST_PLANT","Gp_nb_Cep"
"NB_INFLO_ALL_PLANT","Inf_nb_Cep"
"NB_NCP_PLANT","Gour_nb_Cep"
"NB_SHOOT_I_PLANT","Ram1_nb_Cep"
"NB_SBUDS_PLANT","BG_nb_Cep"
"NB_SHOOT_II_PLANT","Ram2_nb_Cep"
"NB_SHOOTS_SPURS_PLANT","Ram_nb_Cours_Cep"
"NB_INFLO_I_PLANT","Inf_nb_Ram1_Cep"
"NB_INFLO_SPURS_PLANT","Inf_nb_Cours_Cep"
"NB_INFLO_II_PLANT","Inf_nb_Ram2_Cep"
"NB_INFLO_NCP_PLANT","Inf_nb_Gour_Cep"
"NB_SHOOT_ALL_PLANT","Ram_nb_Cep"
"LEAF_A_PLANT","SFol_Cep"
"NB_INFLO_I_M2","Inf_nb_Ram1_m2"
"NB_INFLO_II_M2","Inf_nb_Ram2_m2"
"NB_INFLO_NCP_M2","Inf_nb_Gour_m2"
"NB_INFLO_SPURS_M2","Inf_nb_Cours_m2"
"NB_SHOOTS_SPURS_M2","Ram_nb_Cours_m2"
"FERT_NCP","Fert_Gour"
"FERT_SPURS","Fert_Cours"
"FERT_GLOB","Fert_Cep"
"FERT_PRIM","Fert_prim"
"NB_PLANT_M2","Cep_nb_m2"
"NB_SHOOT_ALL_M2","Ram_nb_m2"
"NB_BUDS_M2","Yeux_nb_m2"
"NB_CLUST_M2","Gp_nb_m2"
"NB_INFLO_ALL_M2","Ram_nb_m2"
"NB_NCP_M2","Gour_nb_m2"
"NB_SHOOT_I_M2","Ram1_nb_m2"
"NB_SBUDS_M2","BG_nb_m2"
"NB_SHOOT_II_M2","Ram2_nb_m2"
"HS_Tmax_B02_15FB","STxb2_15fev"
"HS_Tmax_B06_FloVer","STxb6_FloVer"
"HS_Tmax_B10_BudFlo","STxb10_DebFlo"
