"uri"	"rdf_type"	"rdf_type_name"	"name"	"synonyms"	"code"	"production_year"	"description"	"species"	"species_name"	"variety"	"variety_name"	"accession"	"accession_name"	"institute"	"website"	"Sexe"
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0009c"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0009C"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0009d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0009D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0009e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0009E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0010c"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0010C"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0010d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0010D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0010e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0010E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0011d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0011D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0011e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0011E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0012d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0012D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0012e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0012E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0013d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0013D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0013e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0013E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0014d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0014D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0014e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0014E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0015e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0015E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0016e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0016E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0017e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0017E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0018e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0018E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0020e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0020E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0021e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0021E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0022e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0022E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0023e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0023E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0024e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0024E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0025e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0025E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0026e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0026E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0027e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0027E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0028e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0028E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0030e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0030E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0031d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0031D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0031e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0031E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0032d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0032D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0032e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0032E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0033d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0033D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0033e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0033E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0034e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0034E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0035e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0035E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0036e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0036E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0037e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0037E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0038e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0038E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0039e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0039E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0040e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0040E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0041e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0041E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0042e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0042E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0044e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0044E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0045e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0045E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0046e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0046E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0047e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0047E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0048e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0048E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0049e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0049E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0051e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0051E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0052e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0052E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0053d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0053D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0053e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0053E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0054d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0054D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0054e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0054E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0055d"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0055D"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0055e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0055E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0056e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0056E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.0057e"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"0057E"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
"http://vitis-explorer.inrae.fr/id/germplasm/variety.50001_119_x_rac3"	"http://www.opensilex.org/vocabulary/oeso#Variety"	"Variety"	"50001_119 x RAC3"	NA	NA	NA	NA	"http://aims.fao.org/aos/agrovoc/c_8283"	"grapevine"	NA	NA	NA	NA	NA	NA	NA
