uri,rdf_type,name,species_name,rdf_type_name,species,code,website,Nom Père,Nom mère,Sexe,annee_croisement,clone_mere,code.1,code_variete_mere,hybrideur,lieu_croisement,variete_mere
http://vitis-explorer.inrae.fr/id/germplasm/variety.3303a,http://www.opensilex.org/vocabulary/oeso#Variety,3303A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3304a,http://www.opensilex.org/vocabulary/oeso#Variety,3304A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3305a,http://www.opensilex.org/vocabulary/oeso#Variety,3305A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3307a,http://www.opensilex.org/vocabulary/oeso#Variety,3307A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3313a,http://www.opensilex.org/vocabulary/oeso#Variety,3313A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3316a,http://www.opensilex.org/vocabulary/oeso#Variety,3316A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3319a,http://www.opensilex.org/vocabulary/oeso#Variety,3319A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3325a,http://www.opensilex.org/vocabulary/oeso#Variety,3325A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3328a,http://www.opensilex.org/vocabulary/oeso#Variety,3328A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3405a,http://www.opensilex.org/vocabulary/oeso#Variety,3405A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3409a,http://www.opensilex.org/vocabulary/oeso#Variety,3409A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3411a,http://www.opensilex.org/vocabulary/oeso#Variety,3411A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3412a,http://www.opensilex.org/vocabulary/oeso#Variety,3412A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3421a,http://www.opensilex.org/vocabulary/oeso#Variety,3421A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3432a,http://www.opensilex.org/vocabulary/oeso#Variety,3432A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3433a,http://www.opensilex.org/vocabulary/oeso#Variety,3433A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3435a,http://www.opensilex.org/vocabulary/oeso#Variety,3435A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3456a,http://www.opensilex.org/vocabulary/oeso#Variety,3456A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3458a,http://www.opensilex.org/vocabulary/oeso#Variety,3458A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3467a,http://www.opensilex.org/vocabulary/oeso#Variety,3467A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3491a,http://www.opensilex.org/vocabulary/oeso#Variety,3491A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3493a,http://www.opensilex.org/vocabulary/oeso#Variety,3493A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3497a,http://www.opensilex.org/vocabulary/oeso#Variety,3497A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3506a,http://www.opensilex.org/vocabulary/oeso#Variety,3506A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3518a,http://www.opensilex.org/vocabulary/oeso#Variety,3518A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3520a,http://www.opensilex.org/vocabulary/oeso#Variety,3520A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3524a,http://www.opensilex.org/vocabulary/oeso#Variety,3524A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3536a,http://www.opensilex.org/vocabulary/oeso#Variety,3536A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3541a,http://www.opensilex.org/vocabulary/oeso#Variety,3541A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
http://vitis-explorer.inrae.fr/id/germplasm/variety.3542a,http://www.opensilex.org/vocabulary/oeso#Variety,3542A,vigne,Variété,http://aims.fao.org/aos/agrovoc/c_8283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
