"uri","name","alternative_name","description","datatype","URIgroup","group"
"https://cropontology.org/term/CO_356:1000036","MORPHO_OIV_243","Berry: weight of seeds","Berry: weight of seeds","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000037","MORPHO_OIV_204","Bunch: density","Bunch: density","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000038","MORPHO_OIV_202","Bunch: length (peduncle excluded)","Bunch: length (peduncle excluded)","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000039","MORPHO_OIV_207","Bunch: lignification of peduncle","Bunch: lignification of peduncle","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000040","MORPHO_OIV_206","Bunch: length of peduncle of primary bunch","Bunch: length of peduncle of primary bunch","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000041","MORPHO_OIV_209","Bunch: number of wings of the primary bunch","Bunch: number of wings of the primary bunch","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000042","MORPHO_OIV_208","Bunch: shape","Bunch: shape","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000043","MORPHO_OIV_203","Bunch: width","Bunch: width","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000044","SCLUST_W_OIV_502","Weight of a single bunch","Weight of a single bunch","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000045","BOTRY_CLUST_OIV_459","Cluster: degree of resistance to Botrytis","Cluster: degree of resistance to Botrytis","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000046","UN_CLUST_OIV_456","Cluster: degree of resistance to Oidium","Cluster: degree of resistance to Oidium","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000047","PM_CLUS_OIV_453","Cluster: degree of resistance to Plasmopara","Cluster: degree of resistance to Plasmopara","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000048","SCLUST_W_G","Cluster weight","Cluster weight","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000049","MUST_BTERP","Must Concentration of bound terpenols","Must Concentration of bound terpenols","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000050","WINE_BTERP","Wine Concentration of bound terpenols","Wine Concentration of bound terpenols","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000051","PULP_BTERP","Concentration of bound terpenols in the pulp","Concentration of bound terpenols in the pulp","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000052","SKIN_BTERP","Concentration of bound terpenols in the skins","Concentration of bound terpenols in the skins","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000053","BERRY_TOTATERP","Concentrations of free and bound alpha-terpineol in the berries","Concentrations of free and bound alpha-terpineol in the berries","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000054","BERRY_TOTCITRO","Concentrations of free and bound citronellol in the berries","Concentrations of free and bound citronellol in the berries","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000055","BERRY_TOTGERAN","Concentrations of free and bound geraniol in the berries","Concentrations of free and bound geraniol in the berries","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000056","BERRY_TOTLIN","Concentrations of free and bound linalool in the berries","Concentrations of free and bound linalool in the berries","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000057","BERRY_TOTNER","Concentrations of free and bound nerol in the berries","Concentrations of free and bound nerol in the berries","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000058","MUST_TOTTERP","Must Concentration of free and bound terpenols","Must Concentration of free and bound terpenols","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000059","WINE_TOTTERP","Wine Concentration of free and bound terpenols","Wine Concentration of free and bound terpenols","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000060","PULP_TOTTERP","Concentration of free and bound terpenols in the pulp","Concentration of free and bound terpenols in the pulp","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000061","SKIN_TOTTERP","Concentration of free and bound terpenols in the skins","Concentration of free and bound terpenols in the skins","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000062","MUST_FTERP","Must Concentration of free terpenols","Must Concentration of free terpenols","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000063","WINE_FTERP","Wine Concentration of free terpenols","Wine Concentration of free terpenols","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000064","PULP_FTREP","Concentration of free terpenols in the pulp","Concentration of free terpenols in the pulp","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000065","SKIN_FTERP","Concentration of free terpenols in the skins","Concentration of free terpenols in the skins","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000066","EUTYP_OIV_460","Degree of resistance to Eutypa dieback (laboratory analysis)","Degree of resistance to Eutypa dieback (laboratory analysis)","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000067","PHYLLOX_LEAF_OIV_461","Degree of tolerance to Phylloxera (leaf)","Degree of tolerance to Phylloxera (leaf)","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000068","PHYLLOX_ROOT_OIV_462","Degree of tolerance to Phylloxera (root)","Degree of tolerance to Phylloxera (root)","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000069","INTDIAM_OIV_354","Diameter of internodes","Diameter of internodes","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000070","MUST_DO420","Optical density at 420 nm of the must","Optical density at 420 nm of the must","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000071","WINE_DO420","Optical density at 420 nm of the wine","Optical density at 420 nm of the wine","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000072","MUST_DO520","Optical density at 520 nm of the must","Optical density at 520 nm of the must","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000073","WINE_DO520","Optical density at 520 nm of the wine","Optical density at 520 nm of the wine","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000074","MUST_DO620","Optical density at 620 nm of the must","Optical density at 620 nm of the must","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000075","WINE_DO620","Optical density at 620 nm of the wine","Optical density at 620 nm of the wine","http://www.w3.org/2001/XMLSchema#string",NA,NA
"https://cropontology.org/term/CO_356:1000076","DOY_BUD","Day of Year Budbreak (50%)","Day of Year Budbreak (50%)","http://www.w3.org/2001/XMLSchema#date","http://vitis-explorer.inrae.fr/id/variablesGroup/agro","Agro"
"https://cropontology.org/term/CO_356:1000077","DOY_FLO","Day of Year Flowering (50%)","Day of Year Flowering (50%)","http://www.w3.org/2001/XMLSchema#date",NA,NA
"https://cropontology.org/term/CO_356:1000078","DOY_VER  ","Day of Year Veraison (50%)","Day of Year Veraison (50%)","http://www.w3.org/2001/XMLSchema#date",NA,NA
"https://cropontology.org/term/CO_356:1000079","SHOOT_DW","Dry weight par shoot","Dry weight par shoot","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
"https://cropontology.org/term/CO_356:1000080","EXP_LA_M2","Exposed leaf area per m2 of soil","Exposed leaf area per m2 of soil","http://www.w3.org/2001/XMLSchema#decimal",NA,NA
