uri,name,minValue,maxValue,lwrBound,uprBound
https://cropontology.org/term/CO_356:1000074,MUST_DO620,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000075,WINE_DO620,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000076,DOY_BUD,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000077,DOY_FLO,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000078,DOY_VER  ,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000079,SHOOT_DW,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000080,EXP_LA_M2,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000082,FLO_END,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000083,FLO_START,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000084,MORPHO_OIV_151,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000085,SO2_FREE,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000086,GLUFRU,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000087,MORPHO_OIV_352,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000088,HS_Tmax_B02_15FB,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000089,HS_Tmax_B06_FloVer,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000090,HS_Tmax_B10_BudFlo,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000091,MORPHO_OIV_152,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000092,FERT_OIV_153,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000093,INT_L,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000094,LEAF_A_M2,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000095,BOTRY_LEAF_OIV_458,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000096,BOTRYL_LEAFLAB_OIV,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000097,UN_LEAF_OIV_455,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000098,UN_LEAFDISK_OIV_455-1,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000099,PM_LEAF_OIV_452,NA,NA,NA,NA
https://cropontology.org/term/CO_356:1000100,PM_LEAFDISK_OIV_452-1,NA,NA,NA,NA
